Date,IEI,TLT
2012-08-03,117.028577,112.675476
2012-08-02,117.3323,114.523626
2012-08-01,117.208908,113.878103
2012-07-31,117.378806,114.450235
2012-07-30,117.246025,114.22081
2012-07-27,117.056333,113.373678
2012-07-26,117.388285,115.553264
2012-07-25,117.511586,116.621001
2012-07-24,117.5021,116.320981
2012-07-23,117.43571,115.412073
2012-07-20,117.359833,114.767908
2012-07-19,117.151175,113.382511
2012-07-18,117.1986,113.673712
2012-07-17,117.113244,113.611936
2012-07-16,117.208086,114.512011
2012-07-13,117.056333,113.982552
2012-07-12,117.037367,114.282573
2012-07-11,116.970977,113.479578
2012-07-10,117.027881,113.338387
2012-07-09,117.008915,113.108949
2012-07-06,116.8951,112.120639
2012-07-05,116.743346,111.088206
2012-07-03,116.639024,110.523456
2012-07-02,116.762319,111.379408
2012-06-29,116.565989,110.241958
2012-06-28,116.651277,111.694828
